"athletes","gender","iso3","sport","country"
"SUTHERLAND Gavin Ben","Men","ZIM","archery","Zimbabwe"
"TAN Ya-Ting","Women","TPE","archery","Taiwan, Province of China"
"TATAFU Karoline Lusitania","Women","TGA","archery","Tonga"
"THAMWONG Witthaya","Men","THA","archery","Thailand"
"THIFFEAULT PICARD Georcy","Women","CAN","archery","Canada"
"TYACK Ryan","Men","AUS","archery","Australia"
"UNRUH Lisa","Women","GER","archery","Germany"
"VALENCIA Alejandra","Women","MEX","archery","Mexico"
"VALLADONT Jean-Charles","Men","FRA","archery","France"
"VAN DEN BERG Sjef","Men","NED","archery","Netherlands"
"VAN DER VEN Rick","Men","NED","archery","Netherlands"
"WANG Dapeng","Men","CHN","archery","China"
"WEI Chun-Heng","Men","TPE","archery","Taiwan, Province of China"
"WIJAYA Muhammad","Men","INA","archery","Indonesia"
"WORTH Taylor","Men","AUS","archery","Australia"
"WU Jiaxin","Women","CHN","archery","China"
"XING Yu","Men","CHN","archery","China"
"YU Guan-Lin","Men","TPE","archery","Taiwan, Province of China"
"ABAD Nestor","Men","ESP","artistic-gymnastics","Spain"
"ABLIAZIN Denis","Men","RUS","artistic-gymnastics","Russian Federation"
"AIT SAID Samir","Men","FRA","artistic-gymnastics","France"
"ALT Tabea","Women","GER","artistic-gymnastics","Germany"
"AMADO Isabella","Women","PAN","artistic-gymnastics","Panama"
"ANDRADE Rebeca","Women","BRA","artistic-gymnastics","Brazil"
"ARICAN Ferhat","Men","TUR","artistic-gymnastics","Turkey"
"AUGIS Axel","Men","FRA","artistic-gymnastics","France"
"BARBOSA Jade","Women","BRA","artistic-gymnastics","Brazil"
"BARRETTO JUNIOR Francisco","Men","BRA","artistic-gymnastics","Brazil"
"BAUMANN Christian","Men","SUI","artistic-gymnastics","Switzerland"
"BEHAN Kieran","Men","IRL","artistic-gymnastics","Ireland"
"BELAK Teja","Women","SLO","artistic-gymnastics","Slovenia"
"BELYAVSKIY David","Men","RUS","artistic-gymnastics","Russian Federation"
"BEVAN Brinn","Men","GBR","artistic-gymnastics","United Kingdom"
"BILES Simone","Women","USA","artistic-gymnastics","United States"
"BLACK Elsabeth","Women","CAN","artistic-gymnastics","Canada"
"BOUFADENE Farah","Women","ALG","artistic-gymnastics","Algeria"
"BOURGUIEG Mohamed Abdeldjalil","Men","ALG","artistic-gymnastics","Algeria"
"BOYER Marine","Women","FRA","artistic-gymnastics","France"
"BRAEGGER Pablo","Men","SUI","artistic-gymnastics","Switzerland"
"BRETSCHNEIDER Andreas","Men","GER","artistic-gymnastics","Germany"
"BREVET Marine","Women","FRA","artistic-gymnastics","France"
"BROOKS Christopher","Men","USA","artistic-gymnastics","United States"
"BUI Kim","Women","GER","artistic-gymnastics","Germany"
"CALVO MORENO Jossimar Orlando","Men","COL","artistic-gymnastics","Colombia"
"CASTRO Simona","Women","CHI","artistic-gymnastics","Chile"
"CHUSOVITINA Oksana","Women","UZB","artistic-gymnastics","Uzbekistan"
"CORDOBA Nicolas","Men","ARG","artistic-gymnastics","Argentina"
"CORRAL Daniel","Men","MEX","artistic-gymnastics","Mexico"
"CROVETTO Kevin","Men","MON","artistic-gymnastics","Monaco"
"DALTON Jacob","Men","USA","artistic-gymnastics","United States"
"DAUSER Lukas","Men","GER","artistic-gymnastics","Germany"
"DAVTYAN Artur","Men","ARM","artistic-gymnastics","Armenia"
"DENG Shudi","Men","CHN","artistic-gymnastics","China"
"DEREK Ana","Women","CRO","artistic-gymnastics","Croatia"
